user_name,user_location,review_count,review_title,review_datetime,review_views,review_content,platform
rajivmehta22MouthShut Verified Member,India,1 Review,ITIL 4 Foundation June 2024 batch 1,1 day ago,35 Views,ITIL 4 Foundation June 2024 batch 1Trainer name: Bipin DeshmukhIt was a Great Session. Bipin tried to explain us the topics with multiple examples which made the understanding better.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
shubhaachar07MouthShut Verified Member,India,2 Reviews,Great Learning Experience!!!,4 days ago,180 Views,Simplilearn platform is very useful and helpful and easy to understand. We can easily track our progress throughout the course.The trainer Vineet was commendable in delivering the content to all of us. He was poised throughout the course and made Power BI very easy to understand. His rate of speech was good and was not rushing at all. He answered each and every question asked by the attendees.Vineet came with the complete package of having the right skills of being a trainer. So KUDOS to him!Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
pujapramodaryaMouthShut Verified Member,,1 Review,Excelltent,4 days ago,177 Views,Thanks Vineetyour teaching make Power BI very easy for meFlag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
hembramsonali213MouthShut Verified Member,India,1 Review,Learner Friendly Content,4 days ago,178 Views,"The Simplilearn has an excellent content, the trainers are also very efficient and helps the learners in every possible way to help.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.",Simplilearn
mkartikey702MouthShut Verified Member,,1 Review,Power BI,4 days ago,65 Views,All the topics were relevant and were explained very well by the faculty.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
shenoy6MouthShut Verified Member,Udupi INDIA,1 Review,Great Learning experience,4 days ago,65 Views,Vineet is a Good trainer with great knowledge.we need more and more working data asset setsFlag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
pathakankit369MouthShut Verified Member,,1 Review,AWS Solutions Architect - Associate Level,4 days ago,69 Views,The courses with Simplilearn are great. The way of teaching is excellent. Great knowledge.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
iamarjunmohan3MouthShut Verified Member,,1 Review,Good class,4 days ago,50+ Views,The class was quite informative and well-conducted.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
bp439832MouthShut Verified Member,India,1 Review,AMAZING WEBSITE,4 days ago,50+ Views,THE BEST THING ABOUT SIMPLILEARN IS .WE CAN ATTEND PRE RECORDED CLASSES. AND PRACTICE MORE.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
bhupendrasingh111MouthShut Verified Member,India,1 Review,My experience,4 days ago,42 Views,I am enjoying the course and have a good experience till now.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
anamikaraieceMouthShut Verified Member,India,2 Reviews,Course- Tableau Training,4 days ago,50+ Views,Course- Tableau TrainingTrainer- Nagraj ChepuriThe course is very interactive and easy to understand. Concepts are described very clearly.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
singhsachinharendMouthShut Verified Member,India,1 Review,CBAP,4 days ago,50+ Views,Course is good and covered almost the topic in detailed explaination.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
ebenezersamuel45MouthShut Verified Member,India,1 Review,Business analyst,4 days ago,41 Views,It was wonderful and smooth experience learning processFlag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
prajapatin374MouthShut Verified Member,India,1 Review,Good,4 days ago,50+ Views,Good content but need practical learning. Shashank sharma is a good trainer he explain in clarified manner. Content is relevant.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
aryannaik,India,1 Review,Impressed!,4 days ago,65 Views,"I recently completed the Tableau Training course offered by Simplilearn, and I am thoroughly impressed with the quality of education and the overall experience. Simplilearn has successfully crafted a program that makes learning complex concepts straightforward and accessible, even for those new to data visualization.One of the standout features of Simplilearn's Tableau Training is the clarity with which they present intricate topics. The instructors are highly knowledgeable and adept at breaking down complicated concepts into manageable, easy-to-understand segments. This approach not only enhances comprehension but also boosts confidence as you progress through the course.The course structure is well-organized, providing a good balance between theory and practical application. Each module is designed to build upon the previous one, ensuring a smooth learning curve. The hands-on projects and real-world examples are particularly valuable, as they allow you to apply what you've learned in a practical context, reinforcing your understanding and skills.Another significant advantage is the interactive nature of the training. Simplilearn encourages active participation through quizzes, assignments, and interactive sessions. This engagement helps to solidify your knowledge and keeps the learning experience dynamic and interesting.The support provided by Simplilearn is also commendable. The teaching assistants are responsive and helpful, always ready to clarify doubts and provide additional resources if needed. The community forums are a great place to connect with fellow learners, share insights, and seek advice.Simplilearn's Tableau Training excels in making complex concepts easy to grasp and apply. The comprehensive curriculum, expert instructors, interactive learning environment, and excellent support make it an outstanding choice for anyone looking to master Tableau. I highly recommend this course to anyone aiming to enhance their data visualization skills.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.",Simplilearn
nitesh9911741878MouthShut Verified Member,,1 Review,Simplilearn Tableau Training,4 days ago,67 Views,Course: Tableau TrainingTrainer: Nagraj ChepuriTraining Facility is very impressive as they will teach you even a boring topic which might you know very well but still they are going to impress you with adding something which might you not know. they are trying very hard to not let the class go bored.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
anamikaraieceMouthShut Verified Member,India,2 Reviews,Easy to Understand,4 days ago,64 Views,Easy to learn as explained very clearly by the instructor. Thank youFlag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
ruthjm179MouthShut Verified Member,,3 Reviews,Tableau Training,4 days ago,50+ Views,"This course was conducted by our trainer, Nagraj Chepuri. Very knowledgeable and all the sessions were easy to understand. The trainer made this session engaging with practical sessions. Thank you.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.",Simplilearn
rashmisagi26MouthShut Verified Member,,1 Review,Tableau Training session by Nagraj chepuri,4 days ago,64 Views,"Tableau is very helpful in data analysis, and Nagraj Chepuri sir sessions are quite easy to understand. This makes understanding Tableau very easy, and now am really enjoying doing data analysis through TableauFlag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.",Simplilearn
moreprithviraj007MouthShut Verified Member,India,1 Review,Tableau Training by SME - Nagraj Chepuri,4 days ago,66 Views,Amazing sessions and explanation of the topics.Good Teaching and Practice approach.Flag This ReviewIrrelevantFakeJunkThank You! We appreciate your effort.,Simplilearn
moreprithviraj007MouthShut Verified Member,India,1 Review,Tableau Training by SME - Nagraj Chepuri,4 days ago,78 Views,Amazing sessions and explanation of the topics.Good Teaching and Practice approach.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
sureshachu88MouthShut Verified Member,India,1 Review,Digital marketing : Mobile marketing,4 days ago,46 Views,Classes by Taranjeet singh sir on Digital marketing is Very GoodFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
muneshrajwaniMouthShut Verified Member,,1 Review,Excellent presentation and coverage on TOGAF,4 days ago,32 Views,"Well presented by Prof Girish S on TOGAF EA 10, would recommend this to others to enroll for this courseFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
purushsimhan235MouthShut Verified Member,India,2 Reviews,TOGAF foundation course by S.Girish,4 days ago,33 Views,Most knowladgable in all ADM and could able to explain topics with ease with live example . would recommend to any one to attend.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
yatendrakumarMouthShut Verified Member,,1 Review,Nice Training with well curated conent,4 days ago,33 Views,Helping us to understand topic wise with well ceated contentTrainer name: Girish SCourse: TOGAF EA TrainingFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
priyadeeppaul12MouthShut Verified Member,,1 Review,Togas foundation course,4 days ago,27 Views,"Girish the trainer is very knowledgeable. He explained in very informative way. Only thing can be improved if the live class can be changed from 3 days to 4 days, then it would be nice.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
sathishneMouthShut Verified Member,India,1 Review,Togaf 10 Enterprise Architecture Training Course,4 days ago,29 Views,Attended this course Togaf by Girish. Really good. Easily understandable. he motivates very well. simplifies the topics. I got clarity and confidence after attending his course. Thanks.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
titirpakhi7700MouthShut Verified Member,India,1 Review,The sessions are very helpful.,4 days ago,33 Views,"Sessions are very helpful, and trainer is supportive. makes us understand very wellFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
yontaintelMouthShut Verified Member,India,1 Review,MERN Class with Simplilearn Arumuru Venugopal,4 days ago,35 Views,MERN Class with Simplilearn's Mr. Arumuru Venugopal is excellentFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
premendranitaMouthShut Verified Member,,1 Review,Nice Efforts,4 days ago,39 Views,Kindly provide other domain projects also rather than java maven not a single technology.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
sabyamsMouthShut Verified Member,,1 Review,CI/CD Pipeline with Jenkins by Vikash Jain,4 days ago,43 Views,"The CI/CD Pipeline with Jenkins course by Vikash Jain on Simplilearn is a comprehensive and well-structured program that effectively demystifies continuous integration and continuous delivery concepts. Vikash's expertise shines through his clear, concise explanations and practical examples. The hands-on labs and real-world projects are particularly beneficial, ensuring a robust learning experience. As someone relatively new to DevOps, I found the course both accessible and deeply informative, striking a perfect balance between theory and practice. Vikash's engaging teaching style and the course's practical focus make it an invaluable resource for anyone looking to master Jenkins in their CI/CD workflows.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",Simplilearn
sanjeetthalder4MouthShut Verified Member,India,1 Review,Good,4 days ago,43 Views,This is very good platform and specially our trainer is very polite and his delivery style is very uniqueFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
jipalpatelMouthShut Verified Member,,1 Review,Simplilearn is best online learning platform,4 days ago,41 Views,Simplilearn is the best online learning platform and the best teachers guide us throughout the course.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
dasarghyaMouthShut Verified Member,India,1 Review,Farhan Raza Azure 104 Lessons,4 days ago,32 Views,Nice and simple way of teaching. easy to understand and practice cases. Will recommend learners to participate and learn.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
ayswarjya009MouthShut Verified Member,India,1 Review,CI/CD with Jenkins,4 days ago,33 Views,Training was fruit full and two capstone project should be included in live classes.Trainer: Vikash JainFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
akumar644MouthShut Verified Member,,1 Review,Great learning experience,4 days ago,32 Views,Great learning experience. I have learn a lot from this training session.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
raghuveermh30MouthShut Verified Member,,1 Review,CI/CD Pipeline with Jenkins,4 days ago,29 Views,Trainer Name: Vikash JainHe is really good in engaging and delivery style. He will allow us to do more practical instead of theoryThe level of preparation what he will be having before session is really goodFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
rajuvizag1981MouthShut Verified Member,India,1 Review,AWS DEVELOPER ASSOCIATE,4 days ago,30 Views,It's good training given rajendra wagh. He uses lot of practical to explain the conceptsFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
laxmikanta665MouthShut Verified Member,,1 Review,Excellent,4 days ago,26 Views,Farhan Raza sir was so knowledgable that he simply made us understand the critical topics with correct demostration.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,Simplilearn
